match_id,home_team,away_team,home_score,away_score,match_date
278,Canterbury-Bankstown Bulldogs,North Queensland Cowboys,,, 2026-05-01
279,Dolphins,Melbourne Storm,,,2026-05-01
280,Gold Coast Titans,Canberra Raiders,,,2026-05-02
281,Parramatta Eels,New Zealand Warriors,,,2026-05-02
282,Sydney Roosters,Brisbane Broncos,,,2026-05-02
283,Newcastle Knights,South Sydney Rabbitohs,,,2026-05-03
284,Cronulla-Sutherland Sharks,Wests Tigers,,,2026-05-03
285,Penrith Panthers,Manly-Warringah Sea Eagles,,,2026-05-03
