home_team,away_team,field_umpires,boundary_umpires,goal_umpires,emergency,referee
Fremantle Dockers,Hawthorn Hawks,Brett Rosebury; Andre Gianfagna; Jacob Mollison; Martin Rodger,Nathan Doig Jordan Russell Josh Garrett Sean Moylan,Brett Rogers Sam Hunter,Jason Yazdani,Brett Rosebury; Andre Gianfagna; Jacob Mollison; Martin Rodger
Brisbane Lions,Carlton Blues,Andrew Stephens; Robert O'Gorman; Tom Bryce; Cameron Dore,Adam Reardon Ty Duncan Chris Delany Luke Graves,Steven Piperno Matthew Bridges,Tom Sullivan,Andrew Stephens; Robert O'Gorman; Tom Bryce; Cameron Dore
Port Adelaide Power,Western Bulldogs,Daniel Johanson; Curtis Deboy; Jamie Broadbent; Brent Wallace,Chris Bull Michael Baker Adrian Pretorius Matthew Konetschka,Rhys Negerman Braden Ford,Brodie Kenny-Bell,Daniel Johanson; Curtis Deboy; Jamie Broadbent; Brent Wallace
North Melbourne Kangaroos,Sydney Swans,Leigh Fisher; Cameron Jones; John Howorth; Andrew Adair,Lachlan Rayner Ian Burrows Lachlan Menara Adam Coote,Dylan Benwell Georgia Henderson,Stephen Williams,Leigh Fisher; Cameron Jones; John Howorth; Andrew Adair
Greater Western Sydney Giants,Essendon Bombers,Brendan Hosking; Paul Rebeschini; Eleni Tee; Jordan Fry,Michael Barlow Matthew Tomkins Benjamin Fely Nicholas Phillips,Alex Chisholm Taylor Mattioli,Angus McKenzie-Wills,Brendan Hosking; Paul Rebeschini; Eleni Tee; Jordan Fry
Gold Coast Suns,St Kilda Saints,Nicholas Brown; Hayden Meyer; Nathan Toner; Craig Fleer,Will Morris Nick Swanson Sam Stagg Jaco Jansen van Rensburg Matthew Jenkinson,Matthew Dervan Peter Challen,James Rizio,Nicholas Brown; Hayden Meyer; Nathan Toner; Craig Fleer
Geelong Cats,Collingwood Magpies,Nick Foot; Simon Meredith; Nathan Williamson; Andrew Heffernan,Ben MacDonald Joshua Furman Blake Anderson Damien Main,Matt Maclure Michael Craig,David Rodan,Nick Foot; Simon Meredith; Nathan Williamson; Andrew Heffernan
Melbourne Demons,West Coast Eagles,Nicholas Jankovskis; Jordyn Pearson; Mathew Nicholls; Joel Clamp,Simon Blight Chris Esler Harrison Bell Anthony Laughton,Callum Leonard Luke Monea,Stephen Williams,Nicholas Jankovskis; Jordyn Pearson; Mathew Nicholls; Joel Clamp
Richmond Tigers,Adelaide Crows,Alex Whetton; Peter Bailes; Harrison Birch; Nicholas McGinness,Jordan Andrews Kieran Ferguson Zachary Mousaco John Cooper,Adam Wojcik Sam Walsh,Steven Piperno,Alex Whetton; Peter Bailes; Harrison Birch; Nicholas McGinness
