season,team_name,games,goals_pg,behinds_pg,scoring_shots_pg,goal_conv_pct,inside_50s_pg,rebound_50s_pg,marks_i50_pg,hitouts_pg,clearances_pg,centre_clearances_pg,stoppage_clearances_pg,cp_pg,intercept_poss_pg,tackles_i50_pg
2015,West Coast Eagles,25.0,14.9,13.4,28.3,0.5265,53.9,28.8,13.5,60.5,39.9,12.7,27.2,140.4,65.8,12.8
2015,Western Bulldogs,23.0,14.1,11.3,25.4,0.5551,54.8,33.7,10.9,68.4,39.4,12.6,27.0,139.3,64.3,13.2
2016,Adelaide Crows,24.0,16.5,13.8,30.3,0.5446,57.9,33.4,14.3,68.8,38.5,14.3,24.2,152.2,74.9,11.5
2016,Brisbane Lions,22.0,11.6,11.1,22.7,0.511,46.3,37.3,10.4,68.1,36.2,13.6,22.6,135.1,62.0,10.4
2016,Carlton Blues,22.0,10.2,10.1,20.299999999999997,0.5025,50.7,35.6,12.1,66.0,34.8,10.4,24.4,132.4,65.2,11.9
2016,Collingwood Magpies,22.0,12.6,11.5,24.1,0.5228,51.4,34.5,11.3,78.1,34.4,11.7,22.6,143.5,67.9,13.4
2016,Essendon Bombers,22.0,9.1,10.8,19.9,0.4573,46.0,37.6,10.3,64.9,33.5,11.4,22.1,131.6,63.3,8.4
2016,Fremantle Dockers,22.0,10.3,9.6,19.9,0.5176,45.5,36.5,9.0,72.4,36.4,11.6,24.8,138.0,66.4,14.1
2016,Geelong Cats,24.0,14.4,12.9,27.3,0.5275,57.0,30.0,14.6,69.8,37.7,13.7,24.0,149.0,69.5,12.4
2016,Gold Coast Suns,22.0,11.7,10.5,22.2,0.527,48.4,37.8,11.7,69.6,33.1,11.7,21.4,134.7,63.0,9.2
2016,Greater Western Sydney Giants,24.0,15.6,12.7,28.299999999999997,0.5512,58.0,39.0,12.5,68.9,40.8,13.2,27.6,150.2,70.5,14.2
2016,Hawthorn Hawks,24.0,14.0,11.9,25.9,0.5405,53.6,32.1,11.8,71.6,36.5,12.5,24.0,130.5,66.1,12.6
2016,Melbourne Demons,22.0,13.0,10.3,23.3,0.5579,53.8,33.5,12.1,71.8,38.4,12.9,25.4,148.5,67.0,11.2
2016,North Melbourne Kangaroos,23.0,12.9,11.2,24.1,0.5353,51.7,35.0,11.9,65.5,37.1,13.3,23.9,143.1,66.7,11.5
2016,Port Adelaide Power,22.0,13.6,11.6,25.2,0.5397,54.9,34.6,10.3,76.1,39.2,12.8,26.4,147.1,68.4,12.8
2016,Richmond Tigers,22.0,11.2,10.5,21.7,0.5161,45.7,36.8,12.7,60.1,34.2,12.3,21.9,136.5,66.0,8.2
2016,St Kilda Saints,22.0,13.0,10.8,23.8,0.5462,52.8,36.2,14.4,66.3,34.5,13.5,21.0,133.7,67.3,10.8
2016,Sydney Swans,26.0,14.5,11.6,26.1,0.5556,56.2,41.0,11.7,78.8,39.0,12.5,26.5,163.6,78.2,13.7
2016,West Coast Eagles,23.0,14.3,11.0,25.3,0.5652,52.3,32.0,13.6,69.9,37.4,12.5,24.9,139.8,67.0,11.6
2016,Western Bulldogs,26.0,12.5,11.4,23.9,0.523,54.7,31.1,11.3,68.7,37.8,12.0,25.8,150.5,67.3,13.3
