bet_id,placed_date,placed_time,sport,season,round,home_team,away_team,market_type,selection,line,odds_taken,stake,return_amount,result,pnl,bookmaker,model_price,model_line,closing_price,closing_line,clv,source_signal_id,source_text,notes
2026-0001,2026-05-02,19:35,AFL,2026,8,Carlton Blues,St Kilda Saints,h2h,Carlton Blues,,2.55,40.00,0.00,loss,-40.00,unknown,,,,,,,,"Carlton @ 2.55 | Head to Head | Stake $40.00 | Carlton v St Kilda | Sat, 2 May 19:35 | No Return",
2026-0002,2026-05-01,19:33,AFL,2026,8,Western Bulldogs,Fremantle Dockers,h2h,Western Bulldogs,,3.21,33.00,0.00,loss,-33.00,unknown,,,,,,,,"Western Bulldogs @ 3.21 | Head to Head | Stake $33.00 | Western Bulldogs v Fremantle | Fri, 1 May 19:33 | No Return",
2026-0003,2026-05-01,20:11,AFL,2026,8,Adelaide Crows,Port Adelaide Power,handicap,Adelaide Crows,-9.5,1.89,50.00,0.00,loss,-50.00,unknown,,,-9.5,,,,"Adelaide Crows (-9.5) @ 1.89 | Line | Stake $50.00 | Adelaide Crows v Port Adelaide | Fri, 1 May 20:11 | No Return",
2026-0004,2026-05-02,19:35,AFL,2026,8,Carlton Blues,St Kilda Saints,total,under,183.5,1.89,50.00,94.50,win,44.50,unknown,,,,,,,,"Under (183.5) @ 1.89 | Total Game Points - Over/Under | Stake $50.00 | Carlton v St Kilda | Sat, 2 May 19:35 | + $94.50",
2026-0005,2026-05-01,20:01,NRL,2026,10,Dolphins,Melbourne Storm,total,under,54.5,1.84,50.00,92.00,win,42.00,unknown,,,,,,,,"Under (54.5) @ 1.84 | Total Match Points | Stake $50.00 | Dolphins v Melbourne Storm | Fri, 1 May 20:01 | + $92.00",
2026-0006,2026-05-01,20:01,NRL,2026,10,Dolphins,Melbourne Storm,handicap,Dolphins,-3.5,1.89,50.00,94.50,win,44.50,unknown,,,-3.5,,,,"Dolphins (-3.5) @ 1.89 | Line | Stake $50.00 | Dolphins v Melbourne Storm | Fri, 1 May 20:01 | + $94.50",
