date,home,away,venue,is_final,ml_home_prob,ml_margin,ml_total,ml_confidence,ml_home_odds,ml_away_odds,mkt_home_open,mkt_away_open,mkt_home_prob,home_line_open,total_line_open,ev_home,ev_away,handicap_edge,total_edge,actual_home_score,actual_away_score,actual_margin,actual_total,actual_home_win,home_covers,over_hit
2025-06-07,Geelong Cats,Gold Coast Suns,GMHBA Stadium,0,0.7558,12.8,159.0,0.7558,1.323,4.095,1.4,3.0,0.6818,-16.5,180.5,0.0581,-0.2674,-3.7,-21.5,61.0,37.0,24.0,98.0,1,1,0
2025-06-07,Greater Western Sydney Giants,Port Adelaide Power,Manuka Oval,0,0.8414,22.4,162.7,0.8414,1.189,6.305,1.28,3.75,0.7455,-22.5,164.5,0.077,-0.4052,-0.1,-1.8,50.0,66.0,-16.0,116.0,0,0,0
2025-06-08,North Melbourne Kangaroos,West Coast Eagles,Hands Oval,0,0.6267,22.3,180.1,0.6267,1.596,2.679,1.65,2.25,0.5769,-7.5,166.5,0.0341,-0.1601,14.8,13.6,62.0,52.0,10.0,114.0,1,1,0
2025-06-08,Carlton Blues,Essendon Bombers,MCG,0,0.3986,13.4,163.5,0.6014,2.509,1.663,1.44,2.8,0.6604,-14.5,164.5,-0.426,0.6839,-1.1,-1.0,78.0,70.0,8.0,148.0,1,0,0
2025-06-09,Melbourne Demons,Collingwood Magpies,MCG,0,0.2742,-10.4,156.3,0.7258,3.646,1.378,3.0,1.4,0.3182,16.5,165.5,-0.1773,0.0161,6.1,-9.2,71.0,72.0,-1.0,143.0,0,1,0
2025-06-12,St Kilda Saints,Western Bulldogs,Marvel Stadium,0,0.79,16.1,180.0,0.79,1.266,4.763,3.5,1.31,0.2723,20.5,171.5,1.7651,-0.725,36.6,8.5,60.0,132.0,-72.0,192.0,0,0,1
2025-06-13,Hawthorn Hawks,Adelaide Crows,UTAS Stadium,0,0.4306,-4.0,163.5,0.5694,2.322,1.756,1.78,2.05,0.5352,-3.5,159.5,-0.2336,0.1673,-7.5,4.0,47.0,44.0,3.0,91.0,1,0,0
2025-06-14,Brisbane Lions,Greater Western Sydney Giants,Gabba,0,0.8844,25.2,165.2,0.8844,1.131,8.65,1.4,3.0,0.6818,-16.5,167.5,0.2382,-0.6532,8.7,-2.3,96.0,107.0,-11.0,203.0,0,0,1
2025-06-14,Essendon Bombers,Geelong Cats,MCG,0,0.3874,-2.7,170.3,0.6126,2.581,1.632,4.35,1.22,0.219,26.5,163.5,0.6853,-0.2527,23.8,6.8,56.0,151.0,-95.0,207.0,0,0,1
2025-06-14,North Melbourne Kangaroos,Fremantle Dockers,Optus Stadium,0,0.1635,-21.3,161.5,0.8365,6.116,1.195,4.8,1.19,0.1987,29.5,164.5,-0.2151,-0.0046,8.2,-3.0,67.0,73.0,-6.0,140.0,0,1,0
2025-06-15,Port Adelaide Power,Melbourne Demons,Adelaide Oval,0,0.4089,-14.5,162.3,0.5911,2.446,1.692,1.78,2.05,0.5352,-3.5,154.5,-0.2722,0.2118,-18.0,7.8,93.0,68.0,25.0,161.0,1,1,1
2025-06-15,West Coast Eagles,Carlton Blues,Optus Stadium,0,0.164,-27.8,159.7,0.836,6.099,1.196,4.0,1.25,0.2381,24.5,167.5,-0.3442,0.0451,-3.3,-7.8,52.0,86.0,-34.0,138.0,0,0,0
2025-06-19,Fremantle Dockers,Essendon Bombers,Optus Stadium,0,0.9477,29.2,146.7,0.9477,1.055,19.135,1.27,3.85,0.752,-23.5,156.5,0.2036,-0.7988,5.7,-9.8,104.0,63.0,41.0,167.0,1,1,1
